d1;d2;d3;d4;n
0.0629687;0.0490418;0.0511844;0.0524938;8401
0.0629819;0.0492231;0.0512395;0.0524256;8431
0.0628767;0.0491668;0.0512942;0.0522397;8461
0.0626546;0.0492286;0.0512307;0.0520551;8491
0.0627861;0.0491726;0.0512851;0.0519892;8521
0.0625658;0.0491171;0.0512221;0.0519238;8551
0.0624636;0.0491784;0.051043;0.0522084;8581
0.0625944;0.0492393;0.0512136;0.0526071;8611
0.0624928;0.0492999;0.0513829;0.0526559;8641
0.0623919;0.0491293;0.0513205;0.0528197;8671
0.0624066;0.0490748;0.0512585;0.0527526;8701
0.0623067;0.0490207;0.0511969;0.053144;8731
0.0622075;0.0493094;0.0512499;0.052962;8761
0.0622227;0.0491412;0.0511887;0.0527813;8791
0.0620111;0.0492008;0.0512414;0.0528285;8821
0.0622529;0.049147;0.0512936;0.0526494;8851
0.0622678;0.0490936;0.0513456;0.0526968;8881
0.0621704;0.0490405;0.0512849;0.0527438;8911
0.0621854;0.0490997;0.0512247;0.0527905;8941
0.0623119;0.0490469;0.0512763;0.0527254;8971
0.0621042;0.0491057;0.0511054;0.0527719;9001
0.0620086;0.049164;0.0510464;0.0527073;9031
0.0620241;0.0494427;0.0509878;0.0525328;9061
0.0619294;0.0494995;0.0510395;0.0523595;9091
0.0620546;0.049556;0.0508716;0.0522969;9121
0.0620697;0.0497213;0.0507048;0.052344;9151
0.0619758;0.0497767;0.050757;0.052173;9181
0.0620997;0.0498317;0.0509174;0.0521116;9211
0.0620063;0.0496699;0.0509685;0.0522671;9241
0.0618056;0.0497249;0.0508036;0.0520979;9271
0.0618213;0.0497796;0.0509623;0.0520374;9301
0.0618369;0.0497267;0.0510128;0.0519773;9331
0.0619592;0.049781;0.0510629;0.0519175;9361
0.0619742;0.0497285;0.0508998;0.0517517;9391
0.0619892;0.0496763;0.05095;0.0519053;9421
0.0618982;0.0496244;0.0511057;0.0518464;9451
0.0619133;0.0495728;0.0510495;0.0516823;9481
0.0620334;0.0497319;0.0510987;0.0517296;9511
0.0621528;0.0495755;0.0510429;0.0515669;9541
0.062167;0.0495246;0.0509874;0.0517187;9571
0.0620769;0.0496823;0.0511405;0.0516613;9601
0.0618835;0.0496314;0.051085;0.0516042;9631
0.0620019;0.0495808;0.0510299;0.0517545;9661
0.0619131;0.0496337;0.0509751;0.0516975;9691
0.0618249;0.0496862;0.0508178;0.0518465;9721
0.0617373;0.0496359;0.050764;0.051687;9751
0.0616501;0.0497904;0.050915;0.0516307;9781
0.0616655;0.049842;0.0509632;0.0515748;9811
0.0614775;0.0498933;0.0511127;0.0514175;9841
0.0612906;0.0503495;0.0510587;0.0515652;9871
0.0612059;0.0501969;0.0510049;0.0516109;9901
0.0611217;0.050146;0.0509516;0.0515557;9931
0.0609377;0.0501958;0.0511997;0.0515009;9961
0.0608548;0.0501451;0.051146;0.0514463;9991
0.0606726;0.0500948;0.0510927;0.0513921;10021
0.0608895;0.0500448;0.0509402;0.0515372;10051
0.0609067;0.049995;0.0507886;0.0516814;10081
0.0609237;0.0499456;0.0508357;0.051528;10111
0.0610393;0.0498965;0.0508826;0.0515728;10141
0.0609576;0.0498476;0.0508308;0.051519;10171
0.0607784;0.049799;0.0508774;0.0514655;10201
0.0606979;0.049653;0.0508259;0.0516079;10231
0.0606179;0.0495078;0.0508722;0.0515544;10261
0.0605383;0.0493635;0.0508211;0.0515985;10291
0.0604593;0.0495107;0.0508672;0.0514485;10321
0.0603806;0.0494638;0.0508163;0.0514926;10351
0.0603988;0.0495135;0.0506695;0.0513438;10381
0.0604169;0.0494669;0.0505235;0.0511958;10411
0.0602433;0.0496121;0.0504741;0.0512403;10441
0.0600707;0.0495655;0.0503295;0.0512845;10471
0.0600895;0.0495191;0.0502809;0.0512332;10501
0.0599183;0.0496629;0.0502326;0.0512772;10531
0.0600322;0.0498059;0.0501846;0.0513209;10561
0.0598621;0.0497592;0.0502313;0.0512699;10591
0.0597872;0.0496187;0.0501836;0.0512193;10621
0.0596188;0.0496667;0.0503239;0.0514506;10651
0.0594514;0.0498081;0.0503698;0.0513061;10681
0.0594716;0.0496686;0.0504155;0.0512557;10711
0.0593055;0.0495298;0.0503678;0.0512988;10741
0.0592331;0.0498561;0.050506;0.0511559;10771
0.0592538;0.050088;0.0506435;0.051199;10801
0.059182;0.0500415;0.0505032;0.0511495;10831
0.0592027;0.0499954;0.0504558;0.0511923;10861
0.0591314;0.0500413;0.0503168;0.0510513;10891
0.058969;0.0499039;0.0502701;0.0511858;10921
0.0588074;0.0498585;0.0502237;0.0512282;10951
0.0587378;0.0498133;0.0500865;0.0512704;10981
0.0587594;0.0497684;0.0500409;0.0512215;11011
0.0590526;0.0497238;0.0499955;0.0512635;11041
0.0592539;0.0497697;0.0502213;0.0511246;11071
0.0590938;0.0499054;0.0500856;0.0514368;11101
0.0590243;0.0497709;0.0499506;0.051388;11131
0.0590449;0.0497267;0.0499955;0.0512499;11161
0.0590653;0.0499509;0.0500402;0.0512912;11191
0.0589965;0.0498173;0.0500847;0.0514214;11221
0.0588392;0.0498622;0.05004;0.0513732;11251
0.0590373;0.0499069;0.0501729;0.0513252;11281
0.0590576;0.049863;0.0501282;0.0511891;11311
0.0589895;0.0498192;0.0501719;0.0514064;11341
0.0590098;0.0498637;0.0501275;0.0514467;11371
0.0590299;0.0498202;0.0502587;0.0513113;11401
0.058875;0.0500394;0.0502143;0.0512641;11431
0.0589826;0.0499956;0.0500829;0.0513044;11461
0.0588286;0.0500392;0.0501262;0.0514316;11491
0.0586755;0.0499089;0.0503429;0.0513844;11521
0.0586962;0.0499524;0.0503852;0.0514241;11551
0.0585442;0.0502547;0.0502547;0.05155;11581
0.0583929;0.050211;0.0501249;0.051589;11611
0.0582424;0.0500816;0.0500816;0.0517138;11641
0.0582641;0.0500386;0.0501242;0.0515808;11671
0.0582002;0.0499957;0.0499957;0.0515341;11701
0.0581366;0.0498679;0.0499531;0.0514875;11731
